date_range_start,taxa,cumulative_ext_rate
1500,mammals,0.39
1600,mammals,0.42
1700,mammals,0.47
1800,mammals,0.77
1900,mammals,2.01
1500,birds,0.07
1600,birds,0.11
1700,birds,0.18
1800,birds,0.37
1900,birds,1.58
1500,all_verts,0.07
1600,all_verts,0.13
1700,all_verts,0.36
1800,all_verts,0.79
1900,all_verts,1.55
1500,other_verts,0.03
1600,other_verts,0.03
1700,other_verts,0.04
1800,other_verts,0.07
1900,other_verts,1.47
1500,background,0.03
1600,background,0.05
1700,background,0.07
1800,background,0.09
1900,background,0.11
