Host,iucn
lophocebus aterrimus,lophocebus aterrimus
lophostoma brasiliense,lophostoma brasiliense
lophostoma silvicolum,lophostoma silvicolum
lophuromys aquilus,lophuromys flavopunctatus
lophuromys dudui,lophuromys flavopunctatus
lophuromys flavopunctatus,lophuromys flavopunctatus
lophuromys laticeps,lophuromys flavopunctatus
lophuromys machangui,lophuromys machangui
lophuromys nudicaudus,lophuromys nudicaudus
lophuromys sikapusi,lophuromys sikapusi
lophuromys stanleyi,lophuromys stanleyi
loxodonta africana,loxodonta africana
loxodonta cyclotis,loxodonta cyclotis
loxodontomys micropus,loxodontomys micropus
lutra lutra,lutra lutra
lycalopex culpaeus,lycalopex culpaeus
lycalopex fulvipes,lycalopex fulvipes
lycalopex griseus,lycalopex griseus
lycalopex gymnocercus,lycalopex gymnocercus
lycalopex vetulus,lycalopex vetulus
lycaon pictus,lycaon pictus
lynx canadensis,lynx canadensis
lynx lynx,lynx lynx
lynx pardinus,lynx pardinus
lynx rufus,lynx rufus
macaca arctoides,macaca arctoides
macaca assamensis,macaca assamensis
macaca balantak,macaca tonkeana
macaca balantak x tonkeana,macaca tonkeana
macaca brunnescens,macaca brunnescens
macaca cyclopis,macaca cyclopis
macaca fascicularis,macaca fascicularis
macaca fuscata,macaca fuscata
macaca hecki,macaca hecki
macaca leonina,macaca leonina
macaca leucogenys,macaca sinica
macaca maura,macaca maura
macaca mulatta,macaca mulatta
macaca munzala,macaca munzala
macaca nemestrina,macaca nemestrina
macaca nigra,macaca nigra
macaca nigrescens,macaca nigrescens
macaca ochreata,macaca ochreata
macaca pagensis,macaca pagensis
macaca radiata,macaca radiata
macaca silenus,macaca silenus
macaca sinica,macaca sinica
macaca sp.,
macaca speciosa,macaca arctoides
macaca sylvanus,macaca sylvanus
macaca thibetana,macaca thibetana
macaca tonkeana,macaca tonkeana
macroglossus minimus,macroglossus minimus
macroglossus sobrinus,macroglossus sobrinus
macronycteris commersoni,macronycteris commersoni
macronycteris gigas,macronycteris gigas
macronycteris vittata,macronycteris vittatus
macronycteris vittatus,macronycteris vittatus
macropus fuliginosus,macropus fuliginosus
macropus giganteus,macropus giganteus
macropus sp.,
macrotis lagotis,macrotis lagotis
macrotus californicus,macrotus californicus
macrotus waterhousii,macrotus waterhousii
madoqua kirkii,madoqua kirkii
madoqua saltiana,madoqua saltiana
madromys blanfordi,madromys blanfordi
malacomys longipes,malacomys longipes
mandrillus leucophaeus,mandrillus leucophaeus
mandrillus sphinx,mandrillus sphinx
manis javanica,manis javanica
manis pentadactyla,manis pentadactyla
marmosa demerarae,marmosa demerarae
marmosa murina,marmosa murina
marmosa paraguayana,marmosa paraguayana
marmosa robinsoni,marmosa robinsoni
marmosets,
marmosops parvidens,marmosops parvidens
marmota caudata,marmota caudata
marmota flaviventris,marmota flaviventris
marmota himalayana,marmota himalayana
marmota marmota,marmota marmota
marmota monax,marmota monax
martes americana,martes americana
martes foina,martes foina
martes martes,martes martes
martes melampus,martes melampus
martes pennanti,martes pennanti
martes zibellina,martes zibellina
mastomys awashensis,mastomys awashensis
mastomys coucha,mastomys coucha
mastomys erythroleucus,mastomys erythroleucus
mastomys huberti,mastomys huberti
mastomys natalensis,mastomys natalensis
mastomys sp.,
maxomys surifer,maxomys surifer
maxomys whiteheadi,maxomys whiteheadi
mazama americana,mazama americana
mazama gouazoupira,mazama gouazoubira
mazama nana,mazama nana
megaderma lyra,lyroderma lyra
megaderma spasma,megaderma spasma
megadontomys nelsoni,megadontomys nelsoni
megaerops ecaudatus,megaerops ecaudatus
megaerops kusnotoi,megaerops kusnotoi
megaerops niphanae,megaerops niphanae
megaloglossus woermanni,megaloglossus woermanni
megaptera novaeangliae,megaptera novaeangliae
melanomys caliginosus,melanomys caliginosus
meles anakuma,meles anakuma
meles leucurus,meles leucurus
meles meles,meles meles
mellivora capensis,mellivora capensis
melogale moschata,melogale moschata
melomys burtoni,melomys burtoni
melursus ursinus,melursus ursinus
menetes berdmorei,menetes berdmorei
mephitis macroura,mephitis macroura
mephitis mephitis,mephitis mephitis
meriones crassus,meriones crassus
meriones hurrianae,meriones hurrianae
meriones libycus,meriones libycus
meriones meridianus,meriones meridianus
meriones shawi,meriones shawi
meriones tamariscinus,meriones tamariscinus
meriones unguiculatus,meriones unguiculatus
mesocricetus auratus,mesocricetus auratus
mesocricetus brandti,mesocricetus brandti
mesomys hispidus,mesomys hispidus
mesophylla macconnelli,mesophylla macconnelli
mesoplodon bidens,mesoplodon bidens
mesoplodon densirostris,mesoplodon densirostris
mesoplodon europaeus,mesoplodon europaeus
mesoplodon stejnegeri,mesoplodon stejnegeri
metachirus nudicaudatus,metachirus nudicaudatus
micaelamys namaquensis,micaelamys namaquensis
mico argentatus,mico argentatus
mico humeralifer,mico humeralifer
mico leucippe,mico leucippe
mico melanurus,mico melanurus
microcebus griseorufus,microcebus griseorufus
microcebus murinus,microcebus murinus
microcebus rufus,microcebus rufus
microgale cowani,microgale cowani
microgale gymnorhyncha,microgale gymnorhyncha
microgale jobihely,microgale jobihely
microgale longicaudata,microgale longicaudata
microgale majori,microgale majori
microgale principula,microgale principula
microgale taiva,microgale taiva
micromys minutus,micromys minutus
micronycteris megalotis,micronycteris megalotis
micropteropus pusillus,micropteropus pusillus
microtus agrestis,microtus agrestis
microtus arvalis,microtus arvalis
microtus californicus,microtus californicus
microtus dogramacii,microtus dogramacii
microtus duodecimcostatus,microtus duodecimcostatus
microtus fortis,microtus fortis
microtus guentheri,microtus guentheri
microtus ilaeus,microtus ilaeus
microtus levis,microtus levis
microtus majori,microtus majori
microtus maximowiczii,microtus maximowiczii
microtus montanus,microtus montanus
microtus montebelli,microtus montebelli
microtus obscurus,microtus arvalis
microtus ochrogaster,microtus ochrogaster
microtus oeconomus,microtus oeconomus
microtus pennsylvanicus,microtus pennsylvanicus
microtus richardsoni,microtus richardsoni
microtus rossiaemeridionalis,microtus levis
microtus socialis,microtus socialis
microtus subterraneus,microtus subterraneus
millardia meltada,millardia meltada
miniopterus africanus,miniopterus africanus
miniopterus ambohitrensis,miniopterus ambohitrensis
miniopterus australis,miniopterus australis
miniopterus fuliginosus,miniopterus schreibersii
miniopterus fuscus,miniopterus fuscus
miniopterus gleni,miniopterus gleni
miniopterus griveaudi,miniopterus griveaudi
miniopterus inflatus,miniopterus inflatus
miniopterus magnater,miniopterus magnater
miniopterus mahafaliensis,miniopterus mahafaliensis
miniopterus manavi,miniopterus manavi
miniopterus minor,miniopterus minor
miniopterus mossambicus,miniopterus minor
miniopterus natalensis,miniopterus natalensis
miniopterus orianae,miniopterus schreibersii
miniopterus pusillus,miniopterus pusillus
miniopterus schreibersii,miniopterus schreibersii
miniopterus sororculus,miniopterus sororculus
miopithecus ogouensis,miopithecus ogouensis
miopithecus talapoin,miopithecus talapoin
mirounga angustirostris,mirounga angustirostris
mirounga leonina,mirounga leonina
molossops neglectus,molossops neglectus
molossops temminckii,molossops temminckii
molossus ater,molossus rufus
molossus coibensis,molossus coibensis
molossus currentium,molossus currentium
molossus molossus,molossus molossus
molossus pretiosus,molossus pretiosus
molossus rufus,molossus rufus
molossus sinaloae,molossus sinaloae
monachus monachus,monachus monachus
monodelphis domestica,monodelphis domestica
monodelphis iheringi,monodelphis iheringi
monodon monoceros,monodon monoceros
mops condylurus,mops condylurus
mops leucostigma,mops leucostigma
mops midas,mops midas
mops pumilus,chaerephon pumilus
mormoops megalophylla,mormoops megalophylla
mormopterus acetabulosus,mormopterus acetabulosus
mormopterus francoismoutoui,mormopterus francoismoutoui
mormopterus jugularis,mormopterus jugularis
moschus berezovskii,moschus berezovskii
moschus chrysogaster,moschus chrysogaster
mungos mungo,mungos mungo
muntiacus muntjak,muntiacus muntjak
muntiacus reevesi,muntiacus reevesi
murina aenea,murina aenea
murina aurata,murina aurata
murina cyclotis,murina cyclotis
murina hilgendorfi,murina hilgendorfi
murina leucogaster,murina leucogaster
murina ussuriensis,murina ussuriensis
mus baoulei,mus baoulei
mus booduga,mus booduga
mus bufo,mus bufo
mus caroli,mus caroli
mus cervicolor,mus cervicolor
mus cookii,mus cookii
mus mattheyi,mus mattheyi
mus minutoides,mus minutoides
mus musculoides,mus musculoides
mus musculus,mus musculus
mus pahari,mus pahari
mus setulosus,mus setulosus
mus sp.,
mus spicilegus,mus spicilegus
mus spretus,mus spretus
mus terricolor,mus terricolor
mus triton,mus triton
muscardinus avellanarius,muscardinus avellanarius
mustela erminea,mustela erminea
mustela eversmannii,mustela eversmanii
mustela frenata,mustela frenata
mustela kathiah,mustela kathiah
mustela lutreola,mustela lutreola
mustela nigripes,mustela nigripes
mustela nivalis,mustela nivalis
mustela putorius,mustela putorius
mustela sibirica,mustela sibirica
mustela sp.,
myocastor coypus,myocastor coypus
myodes gapperi,myodes gapperi
myodes glareolus,myodes glareolus
myodes regulus,myodes regulus
myodes rufocanus,myodes rufocanus
myodes rutilus,myodes rutilus
myomimus roachi,myomimus roachi
myonycteris torquata,myonycteris torquata
myoprocta acouchy,myoprocta acouchy
myosorex geata,myosorex geata
myosorex zinki,myosorex zinki
myospalax psilurus,myospalax psilurus
myotis adversus,myotis adversus
myotis albescens,myotis albescens
myotis alcathoe,myotis alcathoe
myotis altarium,myotis altarium
myotis aurascens,myotis aurascens
myotis austroriparius,myotis austroriparius
myotis bechsteinii,myotis bechsteinii
myotis blythii,myotis blythii
myotis bombinus,myotis bombinus
myotis brandtii,myotis brandtii
myotis californicus,myotis californicus
myotis capaccinii,myotis capaccinii
myotis cf. californicus/ciliolabrum bl-2021,myotis californicus
myotis chiloensis,myotis chiloensis
myotis chinensis,myotis chinensis
myotis ciliolabrum,myotis ciliolabrum
myotis crypticus,myotis nattereri
myotis dasycneme,myotis dasycneme
myotis daubentonii,myotis daubentonii
myotis davidii,myotis davidii
myotis emarginatus,myotis emarginatus
myotis escalerai,myotis escalerai
myotis evotis,myotis evotis
myotis fimbriatus,myotis fimbriatus
myotis flavus,myotis formosus
myotis formosus,myotis formosus
myotis frater,myotis frater
myotis goudoti,myotis goudoti
myotis grisescens,myotis grisescens
myotis horsfieldii,myotis horsfieldii
myotis ikonnikovi,myotis ikonnikovi
myotis keaysi,myotis keaysi
myotis keenii,myotis keenii
myotis laniger,myotis laniger
myotis leibii,myotis leibii
myotis levis,myotis levis
myotis longipes,myotis longipes
myotis lucifugus,myotis lucifugus
myotis macrodactylus,myotis macrodactylus
myotis macropus,myotis macropus
myotis muricola,myotis muricola
myotis myotis,myotis myotis
myotis myotis/blythii,myotis myotis
myotis mystacinus,myotis mystacinus
myotis nattereri,myotis nattereri
myotis nigricans,myotis nigricans
myotis oxygnathus,myotis blythii
myotis oxyotus,myotis oxyotus
myotis pequinius,myotis pequinius
myotis petax,myotis petax
myotis punicus,myotis punicus
myotis ricketti,myotis pilosus
myotis riparius,myotis riparius
myotis septentrionalis,myotis septentrionalis
myotis siligorensis,myotis siligorensis
myotis sp.,
myotis thysanodes,myotis thysanodes
myotis velifer,myotis velifer
myotis volans,myotis volans
myotis welwitschii,myotis welwitschii
myotis yumanensis,myotis yumanensis
myotomys unisulcatus,otomys unisulcatus
myrmecophaga tridactyla,myrmecophaga tridactyla
mystacina tuberculata,mystacina tuberculata
naemorhedus goral,naemorhedus goral
nandinia binotata,nandinia binotata
nanger granti,nanger granti
nannospalax galili,nannospalax ehrenbergi
nanonycteris veldkampii,nanonycteris veldkampii
napaeozapus insignis,napaeozapus insignis
nasalis larvatus,nasalis larvatus
nasua narica,nasua narica
nasua nasua,nasua nasua
natalus stramineus,natalus stramineus
natalus tumidirostris,natalus tumidirostris
neacomys guianae,neacomys guianae
neacomys musseri,neacomys musseri
neacomys spinosus,neacomys spinosus
necromys benefactus,necromys benefactus
necromys lasiurus,necromys lasiurus
necromys obscurus,necromys obscurus
nectomys squamipes,nectomys squamipes
neodon clarkei,microtus clarkei
neodon fuscus,lasiopodomys fuscus
neodon leucurus,phaiomys leucurus
neofelis nebulosa,neofelis nebulosa
neogale vison,neovison vison
neomonachus schauinslandi,neomonachus schauinslandi
neomys anomalus,neomys anomalus
neomys fodiens,neomys fodiens
neophocaena asiaeorientalis,neophocaena asiaeorientalis
neoromicia brunneus,neoromicia brunnea
neoromicia helios,neoromicia helios
neoromicia somalicus,neoromicia malagasyensis
neoromicia tenuipinnis,neoromicia tenuipinnis
neotoma albigula,neotoma albigula
neotoma cinerea,neotoma cinerea
neotoma floridana,neotoma floridana
neotoma fuscipes,neotoma fuscipes
neotoma lepida,neotoma lepida
neotoma leucodon,neotoma leucodon
neotoma macrotis,neotoma macrotis
neotoma mexicana,neotoma mexicana
neotoma micropus,neotoma micropus
neotoma stephensi,neotoma stephensi
neovison vison,neovison vison
nephelomys albigularis,nephelomys albigularis
nephelomys devius,nephelomys devius
nesogale dobsoni,microgale dobsoni
neurotrichus gibbsii,neurotrichus gibbsii
niumbaha superba,glauconycteris superba
niviventer confucianus,niviventer confucianus
niviventer coninga,niviventer coninga
niviventer cremoriventer,niviventer cremoriventer
niviventer eha,niviventer eha
niviventer excelsior,niviventer excelsior
niviventer fulvescens,niviventer fulvescens
niviventer huang,niviventer fulvescens
niviventer lotipes,niviventer confucianus
niviventer niviventer,niviventer niviventer
niviventer sp.,
noctilio leporinus,noctilio leporinus
nomascus concolor,nomascus concolor
nomascus gabriellae,nomascus gabriellae
nomascus leucogenys,nomascus leucogenys
notamacropus agilis,macropus agilis
notamacropus dorsalis,macropus dorsalis
notamacropus eugenii,macropus eugenii
notamacropus parma,macropus parma
notamacropus parryi,macropus parryi
notamacropus rufogriseus,macropus rufogriseus
nyctalus lasiopterus,nyctalus lasiopterus
nyctalus leisleri,nyctalus leisleri
nyctalus noctula,nyctalus noctula
nyctalus plancyi,nyctalus plancyi
nyctalus velutinus,nyctalus noctula
nyctereutes procyonoides,nyctereutes procyonoides
nycteris gambiensis,nycteris gambiensis
nycteris grandis,nycteris grandis
nycteris hispida,nycteris hispida
nycteris macrotis,nycteris macrotis
nycteris nana,nycteris nana
nycteris thebaica,nycteris thebaica
nycteris tragata,nycteris tragata
nycticebus bengalensis,nycticebus bengalensis
nycticebus coucang,nycticebus coucang
nycticebus pygmaeus,nycticebus pygmaeus
nycticeinops schlieffeni,nycticeinops schlieffeni
nycticeius humeralis,nycticeius humeralis
nyctimene cephalotes,nyctimene cephalotes
nyctinomops femorosaccus,nyctinomops femorosaccus
nyctinomops laticaudatus,nyctinomops laticaudatus
nyctinomops macrotis,nyctinomops macrotis
nyctophilus arnhemensis,nyctophilus arnhemensis
nyctophilus geoffroyi,nyctophilus geoffroyi
nyctophilus gouldi,nyctophilus gouldi
ochotona alpina,ochotona alpina
ochotona cansus,ochotona cansus
ochotona curzoniae,ochotona curzoniae
ochotona sp.,
ochotona thibetana,ochotona thibetana
odobenus rosmarus,odobenus rosmarus
odocoileus hemionus,odocoileus hemionus
odocoileus virginianus,odocoileus virginianus
oecomys auyantepui,oecomys auyantepui
oecomys bicolor,oecomys bicolor
oecomys paricola,oecomys paricola
oecomys roberti,oecomys roberti
oecomys rutilus,oecomys rutilus
oenomys hypoxanthus,oenomys hypoxanthus
okapia johnstoni,okapia johnstoni
oligoryzomys chacoensis,oligoryzomys chacoensis
oligoryzomys costaricensis,oligoryzomys fulvescens
oligoryzomys flavescens,oligoryzomys flavescens
oligoryzomys fornesi,oligoryzomys fornesi
oligoryzomys fulvescens,oligoryzomys fulvescens
oligoryzomys longicaudatus,oligoryzomys longicaudatus
oligoryzomys mattogrossae,oligoryzomys microtis
oligoryzomys microtis,oligoryzomys microtis
oligoryzomys nigripes,oligoryzomys nigripes
oligoryzomys sp.,
oligoryzomys sp. rt-2012,
oligoryzomys utiaritensis,oligoryzomys eliurus
oligoryzomys vegetus,oligoryzomys vegetus
ondatra zibethicus,ondatra zibethicus
onychogalea unguifera,onychogalea unguifera
onychomys leucogaster,onychomys leucogaster
onychomys torridus,onychomys torridus
orcinus orca,orcinus orca
oreamnos americanus,oreamnos americanus
oreotragus oreotragus,oreotragus oreotragus
orientallactaga sibirica,allactaga sibirica
oryctolagus cuniculus,oryctolagus cuniculus
oryx beisa,oryx beisa
oryx dammah,oryx dammah
oryx gazella,oryx gazella
oryx leucoryx,oryx leucoryx
oryzomys couesi,oryzomys couesi
oryzomys palustris,oryzomys palustris
oryzomys sp.,
oryzomys texensis,oryzomys palustris
osphranter robustus,macropus robustus
osphranter rufus,macropus rufus
otaria byronia,otaria byronia
otocolobus manul,otocolobus manul
otocyon megalotis,otocyon megalotis
otolemur crassicaudatus,otolemur crassicaudatus
otomops harrisoni,otomops harrisoni
otomops madagascariensis,otomops madagascariensis
otomops martiensseni,otomops martiensseni
otomys irroratus,otomys irroratus
otomys tropicalis,otomys tropicalis
otospermophilus beecheyi,otospermophilus beecheyi
otospermophilus variegatus,otospermophilus variegatus
ourebia ourebi,ourebia ourebi
ovibos moschatus,ovibos moschatus
ovis ammon,ovis ammon
ovis aries,
ovis canadensis,ovis canadensis
ovis dalli,ovis dalli
ovis orientalis,ovis gmelini
oxymycterus judex,oxymycterus quaestor
oxymycterus nasutus,oxymycterus nasutus
oxymycterus quaestor,oxymycterus quaestor
oxymycterus rufus,oxymycterus rufus
ozotoceros bezoarticus,ozotoceros bezoarticus
paguma larvata,paguma larvata
pan paniscus,pan paniscus
pan troglodytes,pan troglodytes
panthera leo,panthera leo
panthera onca,panthera onca
panthera pardus,panthera pardus
panthera tigris,panthera tigris
panthera uncia,panthera uncia
pantherina griselda,blarinella griselda
pantholops hodgsonii,pantholops hodgsonii
papio anubis,papio anubis
papio cynocephalus,papio cynocephalus
papio hamadryas,papio hamadryas
papio kindae,papio kindae
papio papio,papio papio
papio sp.,
papio ursinus,papio ursinus
paradoxurus hermaphroditus,paradoxurus hermaphroditus
paradoxurus zeylonensis,paradoxurus zeylonensis
parahyaena brunnea,parahyaena brunnea
parahypsugo crassulus,pipistrellus crassulus
parastrellus hesperus,parastrellus hesperus
paratriaenops furculus,paratriaenops furculus
paruromys dominator,paruromys dominator
pecari tajacu,pecari tajacu
pedetes capensis,pedetes capensis
pekania pennanti,martes pennanti
pelea capreolus,pelea capreolus
pelomys isseli,pelomys isseli
peponocephala electra,peponocephala electra
perameles bougainville,perameles bougainville
perameles gunnii,perameles gunnii
perameles nasuta,perameles nasuta
perimyotis subflavus,perimyotis subflavus
perodicticus potto,perodicticus potto
perognathus parvus,perognathus parvus
peromyscus attwateri,peromyscus attwateri
peromyscus aztecus,peromyscus aztecus
peromyscus beatae,peromyscus beatae
peromyscus boylii,peromyscus boylii
peromyscus californicus,peromyscus californicus
peromyscus crinitus,peromyscus crinitus
peromyscus difficilis,peromyscus difficilis
peromyscus eremicus,peromyscus eremicus
peromyscus gossypinus,peromyscus gossypinus
peromyscus hylocetes,peromyscus hylocetes
peromyscus leucopus,peromyscus leucopus
peromyscus levipes,peromyscus levipes
peromyscus maniculatus,peromyscus maniculatus
peromyscus megalops,peromyscus megalops
peromyscus melanophrys,peromyscus melanophrys
peromyscus melanotis,peromyscus melanotis
peromyscus mexicanus,peromyscus mexicanus
peromyscus ochraventer,peromyscus ochraventer
peromyscus pectoralis,peromyscus pectoralis
peromyscus sp.,
peromyscus spicilegus,peromyscus spicilegus
peromyscus truei,peromyscus truei
peropteryx macrotis,peropteryx macrotis
petaurus breviceps,petaurus breviceps
petrogale godmani,petrogale godmani
phacochoerus aethiopicus,phacochoerus aethiopicus
phacochoerus africanus,phacochoerus africanus
phascolarctos cinereus,phascolarctos cinereus
phataginus tricuspis,phataginus tricuspis
philander opossum,philander opossum
philantomba maxwellii,philantomba maxwellii
philantomba monticola,philantomba monticola
philetor brachypterus,philetor brachypterus
phoca fasciata,histriophoca fasciata
phoca groenlandica,pagophilus groenlandicus
phoca largha,phoca largha
phoca vitulina,phoca vitulina
phocarctos hookeri,phocarctos hookeri
phocoena phocoena,phocoena phocoena
phocoena spinipinnis,phocoena spinipinnis
phocoenoides dalli,phocoenoides dalli
phodopus roborovskii,phodopus roborovskii
phodopus sungorus,phodopus sungorus
phyllostomus discolor,phyllostomus discolor
phyllostomus elongatus,phyllostomus elongatus
phyllostomus hastatus,phyllostomus hastatus
phyllotis darwini,phyllotis darwini
physeter catodon,physeter macrocephalus
piliocolobus badius,piliocolobus badius
piliocolobus rufomitratus,piliocolobus rufomitratus
piliocolobus semlikiensis,piliocolobus semlikiensis
piliocolobus tephrosceles,piliocolobus tephrosceles
piliocolobus tholloni,piliocolobus tholloni
pipistrellus abramus,pipistrellus abramus
pipistrellus ceylonicus,pipistrellus ceylonicus
pipistrellus coromandra,pipistrellus coromandra
pipistrellus hesperidus,pipistrellus hesperidus
pipistrellus kuhlii,pipistrellus kuhlii
pipistrellus nanulus,pipistrellus nanulus
pipistrellus nathusii,pipistrellus nathusii
pipistrellus pipistrellus,pipistrellus pipistrellus
pipistrellus pygmaeus,pipistrellus pygmaeus
pithecia monachus,pithecia monachus
pithecia pithecia,pithecia pithecia
platyrrhinus helleri,platyrrhinus helleri
platyrrhinus lineatus,platyrrhinus lineatus
plecotus auritus,plecotus auritus
plecotus austriacus,plecotus austriacus
plecotus gaisleri,plecotus teneriffae
plecotus sacrimontis,plecotus sacrimontis
plecturocebus cupreus,plecturocebus cupreus
pongo abelii,pongo abelii
pongo pygmaeus,pongo pygmaeus
pontoporia blainvillei,pontoporia blainvillei
porcula salvania,porcula salvania
potamochoerus larvatus,potamochoerus larvatus
potamochoerus porcus,potamochoerus porcus
potorous tridactylus,potorous tridactylus
potos flavus,potos flavus
praomys daltoni,praomys daltoni
praomys derooi,praomys derooi
praomys jacksoni,praomys jacksoni
praomys misonnei,praomys misonnei
praomys mutoni,praomys mutoni
praomys petteri,praomys petteri
praomys rostratus,praomys rostratus
praomys tullbergi,praomys tullbergi
presbytis melalophos,presbytis melalophos
priodontes maximus,priodontes maximus
prionailurus bengalensis,prionailurus bengalensis
prionailurus iriomotensis,prionailurus bengalensis
prionailurus planiceps,prionailurus planiceps
prionailurus viverrinus,prionailurus viverrinus
prionodon linsang,prionodon linsang
procapra gutturosa,procapra gutturosa
procapra przewalskii,procapra przewalskii
procavia capensis,procavia capensis
procolobus verus,procolobus verus
procyon cancrivorus,procyon cancrivorus
procyon lotor,procyon lotor
procyon pygmaeus,procyon pygmaeus
proechimys cuvieri,proechimys cuvieri
proechimys guairae,proechimys guairae
proechimys guyannensis,proechimys guyannensis
proechimys longicaudatus,proechimys longicaudatus
proechimys semispinosus,proechimys semispinosus
proechimys sp.,
prolemur simus,prolemur simus
propithecus coquereli,propithecus coquereli
propithecus diadema,propithecus diadema
propithecus verreauxi,propithecus verreauxi
proteles cristata,proteles cristata
psammomys obesus,psammomys obesus
pseudocheirus peregrinus,pseudocheirus peregrinus
pseudois nayaur,pseudois nayaur
pseudomys novaehollandiae,pseudomys novaehollandiae
pseudorca crassidens,pseudorca crassidens
ptenochirus jagori,ptenochirus jagori
ptenochirus jagorii,ptenochirus jagori
pteronotus alitonus,pteronotus rubiginosus
pteronotus davyi,pteronotus davyi
pteronotus parnellii,pteronotus parnellii
pteronotus personatus,pteronotus personatus
pteronotus rubiginosus,pteronotus rubiginosus
pteropus admiralitatum,pteropus admiralitatum
pteropus alecto,pteropus alecto
pteropus capistratus,pteropus capistratus
pteropus conspicillatus,pteropus conspicillatus
pteropus dasymallus,pteropus dasymallus
pteropus giganteus,pteropus giganteus
pteropus hypomelanus,pteropus hypomelanus
pteropus lylei,pteropus lylei
pteropus melanotus,pteropus melanotus
pteropus neohibernicus,pteropus neohibernicus
pteropus poliocephalus,pteropus poliocephalus
pteropus pumilus,pteropus pumilus
pteropus rayneri,pteropus rayneri
pteropus rodricensis,pteropus rodricensis
pteropus rufus,pteropus rufus
pteropus scapulatus,pteropus scapulatus
pteropus sp.,
pteropus tonganus,pteropus tonganus
pteropus vampyrus,pteropus vampyrus
pudu puda,pudu puda
puma concolor,puma concolor
puma yagouaroundi,herpailurus yagouaroundi
pusa caspica,pusa caspica
pusa hispida,pusa hispida
pusa sibirica,pusa sibirica
pygathrix nemaeus,pygathrix nemaeus
pygathrix nigripes,pygathrix nigripes
rangifer tarandus,rangifer tarandus
raphicerus campestris,raphicerus campestris
raphicerus sharpei,raphicerus sharpei
rattus andamanensis,rattus andamanensis
rattus annandalei,rattus annandalei
rattus argentiventer,rattus argentiventer
rattus exulans,rattus exulans
rattus flavipectus,rattus tanezumi
rattus fuscipes,rattus fuscipes
rattus hoffmanni,rattus hoffmanni
rattus leucopus,rattus leucopus
rattus losea,rattus losea
rattus lutreolus,rattus lutreolus
rattus nitidus,rattus nitidus
rattus norvegicus,rattus norvegicus
rattus pyctoris,rattus pyctoris
rattus rattus,rattus rattus
rattus sordidus,rattus sordidus
rattus sp.,
rattus tanezumi,rattus tanezumi
rattus tiomanicus,rattus tiomanicus
rattus xanthurus,rattus xanthurus
ratufa bicolor,ratufa bicolor
ratufa macroura,ratufa macroura
redunca arundinum,redunca arundinum
redunca fulvorufula,redunca fulvorufula
redunca redunca,redunca redunca
reithrodontomys creper,reithrodontomys creper
reithrodontomys fulvescens,reithrodontomys fulvescens
reithrodontomys megalotis,reithrodontomys megalotis
reithrodontomys mexicanus,reithrodontomys mexicanus
reithrodontomys sumichrasti,reithrodontomys sumichrasti
rhabdomys dilectus,rhabdomys dilectus
rhabdomys pumilio,rhabdomys pumilio
rhinoceros unicornis,rhinoceros unicornis
rhinolophus acuminatus,rhinolophus acuminatus
rhinolophus affinis,rhinolophus affinis
rhinolophus alcyone,rhinolophus alcyone
rhinolophus arcuatus,rhinolophus arcuatus
rhinolophus blasii,rhinolophus blasii
rhinolophus blythi,rhinolophus pusillus
rhinolophus capensis,rhinolophus capensis
rhinolophus clivosus,rhinolophus clivosus
rhinolophus coelophyllus,rhinolophus coelophyllus
rhinolophus cornutus,rhinolophus pusillus
rhinolophus creaghi,rhinolophus creaghi
rhinolophus darlingi,rhinolophus darlingi
rhinolophus denti,rhinolophus denti
rhinolophus eloquens,rhinolophus eloquens
rhinolophus euryale,rhinolophus euryale
rhinolophus ferrumequinum,rhinolophus ferrumequinum
rhinolophus fumigatus,rhinolophus fumigatus
rhinolophus hildebrandti,rhinolophus hildebrandtii
rhinolophus hipposideros,rhinolophus hipposideros
rhinolophus landeri,rhinolophus landeri
rhinolophus lepidus,rhinolophus lepidus
rhinolophus lobatus,rhinolophus landeri
rhinolophus luctus,rhinolophus luctus
rhinolophus macrotis,rhinolophus macrotis
rhinolophus malayanus,rhinolophus malayanus
rhinolophus marshalli,rhinolophus marshalli
rhinolophus megaphyllus,rhinolophus megaphyllus
rhinolophus mehelyi,rhinolophus mehelyi
rhinolophus monoceros,rhinolophus pusillus
rhinolophus paradoxolophus,rhinolophus paradoxolophus
rhinolophus pearsonii,rhinolophus pearsonii
rhinolophus pusillus,rhinolophus pusillus
rhinolophus rex,rhinolophus rex
rhinolophus rhodesiae,rhinolophus swinnyi
rhinolophus rouxii,rhinolophus rouxii
rhinolophus shameli,rhinolophus shameli
rhinolophus siamensis,rhinolophus siamensis
rhinolophus simulator,rhinolophus simulator
rhinolophus sinicus,rhinolophus sinicus
rhinolophus sp. cn 2016,
rhinolophus stheno,rhinolophus stheno
rhinolophus thomasi,rhinolophus thomasi
rhinolophus trifoliatus,rhinolophus trifoliatus
rhinonicteris aurantia,rhinonicteris aurantia
rhinophylla pumilio,rhinophylla pumilio
rhinopithecus roxellana,rhinopithecus roxellana
rhinopoma hardwickii,rhinopoma hardwickii
rhinosciurus laticaudatus,rhinosciurus laticaudatus
rhizomys pruinosus,rhizomys pruinosus
rhizomys sinensis,rhizomys sinensis
rhogeessa parvula,rhogeessa parvula
rhogeessa tumida,rhogeessa tumida
rhombomys opimus,rhombomys opimus
rhynchonycteris naso,rhynchonycteris naso
